"Name","Topic","Abstract","Short discription","YouTube Video Link","Document","ID","Created Date","Updated Date","Owner","Seminar","Short Description-1","slug","RuthManorLectures_lecture"
"Michael Glanzberg","Logic and Logics in Natural Language","""We live in a sea of logics, of many sorts, including sub-classical logics, sub-structural logics, extensions of classical logic, and so on.  What sorts of logics can we find in natural language, and to what extent can our own languages be a guide to what the right logic is?  Building on earlier work, this paper argues that natural language does not provide us with any logic directly. Even so, looking at natural language and idealizing appropriately can lead us to many logics, of many sorts.  This paper goes on to argue that there are limits to what logics we can find in this way, and that some sub-structural logics will fail to emerge from a good idealization process, even though they are closely related to forms found in natural language. Hence, we can find many logics if we look at language, but there are some hard limits to what we can find.""",,,,"5d0483fa-251e-4743-9258-95ca4a8db40b",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Saša Popović","From the MaxPhil Notebooks: Gödel’s Cantorian Set-Theoretical Monadology","""Kurt Gödel maintained a profound interest in Leibniz’s mathematical and philosophical writings during the greater part of his lifetime. The earliest evidence of his study of the Gerhardt edition of Leibniz’s mathematical writings comes already from 1929 (the relevant library slip is preserved in the GN folder 5/57, 050173), and most scholars agree that even after Gödel’s ‘phenomenological turn’ to Husserl in 1959, he still adhered to a more-or-less Leibnizian approach not only in logic and the foundations of mathematics but also in metaphysics (see, e.g., Van Atten & Kennedy 2003 and Rescher 2020). The recollections of Karl Menger and the reports of Hao Wang also attest to this fact, as does the great number of preserved notes and other unpublished handwritten material from Gödel’s Nachlass. Most interesting documents in this regard are the so-called MaxPhil notebooks (Maximen Philosophie) written between 1938 and, approximately, 1955, in which we may find an increasing number of references to Leibniz’s papers as well to the secondary literature devoted to Leibniz starting from 1943–46, especially in the MaxPhil X, XI, and XIV. The 130 pages long MaxPhil XIV written over a period of almost ten years (1946–55) may be taken as a programmatic treatise which serves as direct textual evidence of Gödel’s unrealised project of developing an extensive metaphysical system based upon Leibniz’s monadology, intertwining logic, mathematics, physics, and rational theology (cf. Crocco 2013). In this talk I wish to comparatively analyse, from a historico-philosophical point of view, Gödel’s project with the similar earlier attempt of Georg Cantor to establish a system of monadological metaphysics from the 1880s. However, this immediately turns out to be quite a challenging task due to the fact that “there is no conclusive evidence, either in his published or his unpublished work, that Gödel had read, meditated upon or drawn inspiration from Cantor’s philosophical doctrines.” (Ternullo 2018) But, upon comparing the contents of Cantor’s and Gödel’s monadology, the similarities between the two theories are quite striking: both take Leibniz as their starting point, both are informed by the relevant mathematical, i.e., set-theoretical insights, both are motivated by theological concerns, etc. Furthermore, Cantor and Gödel were both rationalists, they both endorsed actual infinity in mathematics, and they both subscribed to some form of mathematical Platonism or realism (mixed with hints of idealism). Since so many coinciding views can hardly be a product of mere chance, I will seek to uncover Cantor’s and Gödel’s respective motives and possible sources of inspiration, and to study these within wider historical, philosophical, and mathematical context. In the first part of the talk, I will cover Gödel’s study of Leibniz’s papers, as well as his references to Leibnizian ideas in both his published and unpublished works. I will then turn to Cantor’s 1885 Acta Mathematica paper, underlying the philosophical and other non-mathematical aspects and motivations behind his introduction of set theory and a novel, anti-Aristotelian theory of the continuum. Finally, I will compare Cantor’s and Gödel’s attempts at developing set-theoretical monadology, showing that Gödel arrived at a theory practically identical to Cantor’s, independently of any previous insight into what Cantor published more than half a century before him.""",,,,"62bbe71f-70ec-42b1-aa6e-d72df272987d",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Richard Zach","Hilbert, consistency proofs and epsilon-0","A fuller look at Hilbert’s program, examining how consistency proofs were envisioned to secure the foundations of mathematics, and focusing on the special role of the ordinal epsilon-zero. We consider how epsilon-0 arises in key consistency arguments and its significance in proof theory.","Overview of Hilbert’s foundational goals, the epsilon substitution method, and how the ordinal epsilon-0 fits into the enterprise of proving consistency.",,,"6a036ebb-ae27-4c60-8a54-b6fb5298390a",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Michael Rathjen","Searching for the ideal framework","<p class=""font_8"">""Proofs in mathematics often have a narrative quality to them, taking the reader on a long journey. Sometimes the reader has to wait for new mathematical characters (like imaginary numbers) to be created so the journey can be continued. Hilbert called these novel characters ideal elements. His conservation program was the idea that, while being important for the advancement of mathematics, ideal elements should be eliminable from proofs of concrete mathematical theorems. Investigations by a long list of mathematicians/logicians (e.g. Weyl, Hilbert, Bernays, Lorenzen, Takeuti, Feferman, Friedman, Simpson to name a few) have shown that large swathes of ordinary mathematics can be undergirded by theories of fairly modest consistency strength. This confirms what Hilbert surmised in his program, namely that elementary results (e.g. those expressible in the language of number theory) proved in abstract, non-constructive mathematics can often be proved by elementary means. The best known program for calibrating the strength of theorems from ordinary mathematics is reverse mathematics (RM). RM's scale for measuring strength is furnished by certain standard systems couched in the language of second order arithmetic. However, its language is not expressive enough to be able to talk about higher order objects, such as function spaces, directly. Richer formal systems, in which higher order mathematical objects can be directly accounted for, have been suggested. The price for maintaining conservativity over elementary theories, however, is that one has to use different logics for different ontological realms, allowing classical logic to reign at the level of numbers whereas higher type mathematical objects obey only intuitionistic logic. In the talk, I'd like to present some of these semi-intuitionistic systems, give a feel for carrying out mathematics within them, and relate them to systems considered in RM.""</p>",,,,"7531e985-7fe3-4f0c-bbdb-f90da6ef31b4",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Guy Lev (TAU)","LiP Advanced Graduate tutorial – Boo murder, hurray numbers: Expressivism and validity",,,,,"77cb6eba-5275-4734-bd38-1f349287ff98",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Warren Goldfarb","Remarks on “Notes on Metamathematics Part I”","""About the pedagogical reasons for the expository and mathematical choices I made in Notes on Metamathematics. This presentation is intended as a framework for discussion. Questions are expected.""",,,,"7c209d20-0d93-4e28-bb33-51af07236c7c",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Richard Zach","Quasi-Tutorial on Hilbert, consistency proofs and epsilon-0","A session on Hilbert’s program, focusing on the nature and role of consistency proofs in early 20th-century logic. Includes discussion of the epsilon-substitution method and the significance of epsilon-zero for measuring the strength of consistency proofs.","Exposition of Hilbert’s consistency program and the technical apparatus for proving consistency within foundational systems.",,,"7d172cd3-42ce-455c-9cec-27eb2c862496",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Ofra Rechter (Tel Aviv)","Proof Theory – The fruits of proof theory: Some consequences",,,,,"855d12c9-1311-4fa9-a8b7-6c2ad29ff417",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Warren Goldfarb","On Gödel’s General Philosophical Outlook","""The paper discusses Gödel’s notion of mathematical intuition, arguing that it is not basic for him, but rather “epistemological optimism” underlies it (and a version of the principle of sufficient reason underlies that).""",,,,"8724733c-a6cb-4783-8226-c70717908265",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Giulio Fellin","Constructive Reasoning in Mathematics and Logic: Foundations, Proof Techniques, and Conservation","We examine the foundations and implications of constructivism in mathematics and logic, tracing its evolution from classical to modern approaches. We begin by outlining the philosophical and methodological shifts that distinguish constructivism—particularly intuitionism—from classical reasoning. We delve into the Brouwer–Heyting–Kolmogorov (BHK) interpretation, highlighting how it reinterprets traditional proofs. We also address the limitations imposed by intuitionistic principles on widely accepted mathematical constructs such as the Axiom of Choice. Finally, we consider which parts of classical mathematics can be directly translated into constructive terms, focusing on conservativity results, including Glivenko’s Theorem.","Overview of the historical and conceptual foundations of constructivism, contrasting intuitionistic and classical reasoning, and examining key conservation results.",,,"87566e35-3ea2-4436-b547-43f0e874dbd0",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
